EVENT,ZIPCODES,CITIES,YEAR,MONTH,RAINFALL(avg) ,FLOODZONE,STORM ,AVERAGE HOUSEPRICE(label)
,8901,NEWBRUNSWICK,2020,1,2.01 ,NO,NO,285731
,8901,NEWBRUNSWICK,,2,3.08 ,NO,NO,287630
,8901,NEWBRUNSWICK,,3,4.54 ,NO,NO,287675
,8901,NEWBRUNSWICK,,4,4.20 ,NO,NO,288403
,8901,NEWBRUNSWICK,,5,2.33,NO,NO,287621
,8901,NEWBRUNSWICK,,6,2.91,NO,NO,287116
,8901,NEWBRUNSWICK,,7,11.39,NO,NO,286919
,8901,NEWBRUNSWICK,,8,5.72,NO,NO,290307
,8901,NEWBRUNSWICK,,9,4.61,NO,NO,295746
,8901,NEWBRUNSWICK,,10,5.66,NO,NO,302915
,8901,NEWBRUNSWICK,,11,3.47,NO,NO,307610
,8901,NEWBRUNSWICK,,12,5.21,NO,NO,311080
,8901,NEWBRUNSWICK,2021,1,2.21 ,NO,NO,310956
,8901,NEWBRUNSWICK,,2,5.64 ,NO,NO,314397
,8901,NEWBRUNSWICK,,3,2.86 ,NO,NO,319290
,8901,NEWBRUNSWICK,,4,2.49 ,NO,NO,326010
,8901,NEWBRUNSWICK,,5,4.17 ,NO,NO,331972
,8901,NEWBRUNSWICK,,6,3.38 ,NO,NO,335215
,8901,NEWBRUNSWICK,,7,5.01 ,NO,NO,338214
,8901,NEWBRUNSWICK,,8,6.27 ,NO,NO,339542
IDA,8901,NEWBRUNSWICK,,9,10.01 ,YES,YES,340879
,8901,NEWBRUNSWICK,,10,7.37 ,NO,NO,342244
,8901,NEWBRUNSWICK,,11,1.00 ,NO,NO,343115
,8901,NEWBRUNSWICK,,12,1.45 ,NO,NO,345281
,8901,NEWBRUNSWICK,2022,1,4.56,NO,NO,345281
,8901,NEWBRUNSWICK,,2,3.66,NO,NO,347723
,8901,NEWBRUNSWICK,,3,3.42,NO,NO,350051
,8901,NEWBRUNSWICK,,4,5.37,NO,NO,354406
,8901,NEWBRUNSWICK,,5,7.43,NO,NO,358706
